estado;cidade;temp_m;latitude;longitude;altitude
PI;Campo Maior;28.826302083333307;-4.864178;-42.145553;125
PI;Canto do Buriti;27.609635416666666;-8.117939;-42.975721;312
PI;Caracol;25.37434895833336;-9.285880;-43.324438;515
PI;Castelo do Piauí;28.11145833333333;-5.349228;-41.512274;269
PI;Corrente;24.92558593750003;-10.429169;-45.173039;452
PI;Floriano;29.66093750000003;-6.761438;-43.003396;126
PI;Gilbués;27.346093749999977;-9.875196;-45.345805;425
PI;Oeiras;27.99283854166666;-6.974135;-42.146831;154
PI;Parnaíba;26.805273437500006;-3.086656;-41.783139;52
PI;Paulistana;26.854036458333358;-8.132288;-41.142945;376
PI;Picos;28.226271186440677;-7.071016;-41.404042;233
PI;Piripiri;31.603479853479847;-4.276047;-41.794568;158
PI;São João do Piauí;28.5496744791667;-8.364977;-42.250369;237
PI;São Pedro do Piaui;28.34772727272728;-5.911033;-42.718729;296
PI;São Raimundo Nonato;26.697265624999996;-9.033211;-42.701112;383
PI;Teresina;27.566861979166617;-5.034769;-42.801341;75
PI;Uruçui;27.010156249999977;-7.441420;-44.345055;399
RN;Apodi;27.783134130146077;-5.626559;-37.814991;131
RN;Caicó;27.164583333333336;-6.467474;-37.084931;171
RN;Ipanguaçu;27.575265957446828;-5.534867;-36.872314;19
RN;Macau;27.3977864583333;-5.151035;-36.573142;17
RN;Mossoró;26.485872395833344;-4.904087;-37.366943;29
RN;Natal;25.34316406249999;-5.837187;-35.207921;47
RN;Santa Cruz;24.63359374999999;-6.227922;-36.026587;227
SE;Aracaju;25.277278645833338;-10.952413;-37.054330;4
SE;Brejo Grande;24.284895833333323;-10.473959;-36.482051;6
SE;Carira;21.510807291666655;-10.399719;-37.747503;290
SE;Itabaiana;22.375530503978784;-10.671751;-37.471501;0
SE;Itabaianinha;22.847714285714293;-11.2725;-37.795;205
SE;Nossa Senhora da Glória;22.229296875000028;-10.207778;-37.431889;271
