REDE;MAC_ADDRESS;POWER;LATITUDE;LONGITUDE
Wi-Fi UFPE;90:3a:72:25:0d:b8;-70;-8.04967;-34.94746
Wi-Fi UFPE;90:3a:72:25:0a:d8;-80;-8.04961;-34.94745
Wi-Fi UFPE;90:3a:72:25:0d:b8;-79;-8.04947;-34.94743
Wi-Fi UFPE;90:3a:72:25:0a:d8;-75;-8.04942;-34.94739
Wi-Fi UFPE;90:3a:72:25:0a:d8;-88;-8.04935;-34.94734
Wi-Fi UFPE;90:3a:72:25:0d:b8;-73;-8.04927;-34.9473
Wi-Fi UFPE;90:3a:72:25:0d:b8;-78;-8.0492;-34.94723
Wi-Fi UFPE;90:3a:72:25:0d:b8;-81;-8.04911;-34.94717
Wi-Fi UFPE;90:3a:72:25:0d:b8;-79;-8.04909;-34.94715
Wi-Fi UFPE;90:3a:72:24:fa:e8;-92;-8.04895;-34.94702
Wi-Fi UFPE;34:fa:9f:37:92:58;-70;-8.04893;-34.94701
Wi-Fi UFPE;34:fa:9f:37:92:58;-78;-8.04877;-34.94698
Wi-Fi UFPE;90:3a:72:14:d4:28;-72;-8.04864;-34.94697
Wi-Fi UFPE;90:3a:72:24:fb:68;-79;-8.04883;-34.94723
Wi-Fi UFPE;90:3a:72:25:06:f8;-81;-8.04936;-34.94751
Wi-Fi UFPE;90:3a:72:25:0d:b8;-75;-8.0497;-34.94759
Wi-Fi UFPE;90:3a:72:14:d7:28;-80;-8.04979;-34.94759
Wi-Fi UFPE;90:3a:72:14:d7:b8;-83;-8.04988;-34.94767
Wi-Fi UFPE;90:3a:72:14:d7:28;-86;-8.04987;-34.94772
Wi-Fi UFPE;20:b3:99:17:cc:3a;-83;-8.04985;-34.94781
Wi-Fi UFPE;20:b3:99:17:cc:3a;-83;-8.04985;-34.94788
Wi-Fi UFPE;20:b3:99:17:cc:3a;-83;-8.04983;-34.94803
Wi-Fi UFPE;20:b3:99:17:cc:3a;-83;-8.04982;-34.94811
Wi-Fi UFPE;20:b3:99:17:92:4a;-90;-8.04973;-34.94846
Wi-Fi UFPE;20:b3:99:17:92:4a;-86;-8.04981;-34.94837
Wi-Fi UFPE;90:3a:72:14:d7:28;-86;-8.04988;-34.94806
Wi-Fi UFPE;90:3a:72:14:d7:28;-78;-8.04995;-34.94782
Wi-Fi UFPE;90:3a:72:14:d7:28;-78;-8.04997;-34.94773
Wi-Fi UFPE;90:3a:72:14:d7:28;-71;-8.05009;-34.94763
Wi-Fi UFPE;90:3a:72:14:d7:28;-83;-8.05021;-34.94764
Wi-Fi UFPE;90:3a:72:14:d7:28;-81;-8.05032;-34.94765
Wi-Fi UFPE;90:3a:72:14:d7:28;-79;-8.05045;-34.94769
Wi-Fi UFPE;90:3a:72:14:d7:28;-78;-8.05048;-34.9477
Wi-Fi UFPE;90:3a:72:14:d7:28;-74;-8.05054;-34.94771
Wi-Fi UFPE;90:3a:72:14:d7:28;-78;-8.05058;-34.94772
Wi-Fi UFPE;90:3a:72:14:d7:28;-78;-8.0506;-34.94773
Wi-Fi UFPE;90:3a:72:14:d7:28;-78;-8.05063;-34.94773
Wi-Fi UFPE;90:3a:72:14:d7:28;-78;-8.05066;-34.94773
Wi-Fi UFPE;90:3a:72:14:d7:28;-78;-8.05071;-34.94773
Wi-Fi UFPE;90:3a:72:14:d7:28;-79;-8.05083;-34.94773
Wi-Fi UFPE;90:3a:72:14:d7:28;-86;-8.05095;-34.94773
